NumberFrom,NumberTo,OwnerId,RegionCode,MNC,RowCount
9000000000,9000061999,mTELE2,25,20,8394
9000062000,9000062999,mTELE2,62,20,
9000063000,9000099999,mTELE2,25,20,
9000100000,9000199999,mTELE2,70,20,
9000200000,9000299999,mTELE2,75,20,
9000300000,9000499999,mEKATERINBURG,67,35,
9000500000,9000599999,mTELE2,44,20,
9000600000,9000699999,mTELE2,75,20,
9000700000,9000999999,mTELE2,75,20,
9001000000,9001099999,mTELE2,44,20,
9001100000,9001199999,mTELE2,70,20,
9001200000,9001399999,mTELE2,62,20,
9001400000,9001599999,mTELE2,77,20,
9001600000,9001629999,mTELE2,17,20,
9001630000,9001649999,mTELE2,22,20,
9001650000,9001699999,mTELE2,65,20,
9001700000,9001719999,mTELE2,34,20,
9001720000,9001739999,mTELE2,62,20,
9001740000,9001749999,mTELE2,37,20,
9001750000,9001759999,mTELE2,29,20,
9001760000,9001799999,mTELE2,64,20,
9001800000,9001899999,mTELE2,29,20,
9001900000,9001909999,mTELE2,01,20,
9001910000,9001919999,mTELE2,07,20,
9001920000,9001929999,mTELE2,09,20,
9001930000,9001939999,mTELE2,15,20,
9001940000,9001949999,mTELE2,20,10,
9001950000,9001959999,mTELE2,25,10,
9001960000,9001969999,mTELE2,06,20,
9001970000,9002169999,mEKATERINBURG,67,35,
9002170000,9002187999,mTELE2,20,10,
9002188000,9002189999,mSIMTEL,77,47,
9002190000,9002289999,mTELE2,68,20,
9002290000,9002989999,mTELE2,25,20,
9002990000,9002999999,mTELE2,39,20,
9003000000,9003099999,mTELE2,39,20,
9003100000,9003149999,mTELE2,65,20,
9003150000,9003199999,mTELE2,60,20,
9003200000,9003299999,mTELE2,16,20,
9003300000,9003349999,mTELE2,21,20,
9003350000,9003359999,mBEELINE,82,99,
9003360000,9003449999,mBEELINE,30,99,
9003450000,9003549999,mTELE2,42,20,
9003550000,9003749999,mTELE2,35,20,
9003750000,9003849999,mEKATERINBURG,47,35,
9003850000,9003949999,mEKATERINBURG,81,35,
9003950000,9004049999,mEKATERINBURG,83,35,
9004050000,9004149999,mTELE2,51,20,
9004150000,9004249999,mTELE2,79,20,
9004250000,9004349999,mTELE2,66,20,
9004350000,9004449999,mTELE2,24,20,
9004450000,9004459999,mTELE2,82,20,
9004460000,9004549999,mTELE2,74,20,
9004550000,9004649999,mSPITERBURG,10,20,
9004650000,9004650999,mGASPROM,77,43,
9004651000,9004654999,mSIMTEL,77,47,
9004655000,9004664999,mTELE2,74,20,
9004665000,9004714999,mTELE2,60,20,
9004715000,9004734999,mTELE2,70,20,
9004735000,9004834999,mTELE2,36,20,
9004835000,9004884999,mTELE2,59,20,
9004885000,9004894999,mTELE2,66,20,
9004895000,9004899999,mSIMTEL,77,47,
9004900000,9004999999,mTELE2,69,20,
9005000000,9005099999,mSPITERBURG,38,20,
9005100000,9005199999,mTELE2,69,20,
9005200000,9005299999,mTELE2,45,20,
9005300000,9005399999,mSPITERBURG,38,20,
9005400000,9005449999,mSPITERBURG,38,20,
9005450000,9005549999,mSPITERBURG,38,20,
9005550000,9005559999,mSIMTEL,77,47,
9005560000,9005609999,mSPITERBURG,38,20,
9005610000,9005709999,mTELE2,42,20,
9005710000,9005809999,mTELE2,43,20,
9005810000,9005909999,mTELE2,36,20,
9005910000,9006009999,mTELE2,50,20,
9006010000,9006109999,mTELE2,63,20,
9006110000,9006199999,mSIMTEL,77,47,
9006200000,9006599999,mSPITERBURG,78,20,
9006600000,9006699999,mTELE2,66,20,
9006700000,9006799999,mTELE2,57,20,
9006800000,9006899999,mTELE2,24,20,
9006900000,9006999999,mTELE2,35,20,
9007000000,9007499999,mAntares,77,28,
9007900000,9007999999,mAntares,39,28,
9009000000,9009009999,mGASPROM,77,41,
9009010000,9009109999,mTELE2,63,20,
9009110000,9009209999,mTELE2,32,20,
9009210000,9009239999,mTELE2,71,20,
9009240000,9009339999,mTELE2,39,20,
9009340000,9009439999,mTELE2,53,20,
9009440000,9009639999,mTELE2,39,20,
9009640000,9009739999,mTELE2,63,20,
9009740000,9009839999,mTELE2,11,20,
9009840000,9009849999,mTELE2,69,20,
9009850000,9009899999,mTELE2,50,20,
9009900000,9009999999,mSPITERBURG,61,20,
9010000000,9010009999,mTELE2,62,20,
